L0 Node ID,L0 Node Name,L1 Node ID,L1 Node Name,L2 Node ID,L2 Node Name
1000000,Books & Other Media,1000067,Calendars,1000090,Quotations
1000000,Books & Other Media,1000067,Calendars,1000091,Science Fiction & Fantasy
1000000,Books & Other Media,1000067,Calendars,1000092,Sports
1000000,Books & Other Media,1000067,Calendars,1000093,Television
1000000,Books & Other Media,1000067,Calendars,1000094,Travel & Scenery
1000000,Books & Other Media,1000095,Books - Children's Books,1000096,Action & Adventure
1000000,Books & Other Media,1000095,Books - Children's Books,1000097,"Activities, Crafts & Games"
1000000,Books & Other Media,1000095,Books - Children's Books,1000098,Animals
1000000,Books & Other Media,1000095,Books - Children's Books,1000099,"Arts, Music & Photography"
1000000,Books & Other Media,1000095,Books - Children's Books,1000100,Biographies
1000000,Books & Other Media,1000095,Books - Children's Books,1000101,"Cars, Trains & Things That Go"
1000000,Books & Other Media,1000095,Books - Children's Books,1000102,Children's Cookbooks
1000000,Books & Other Media,1000095,Books - Children's Books,1000103,Classics
1000000,Books & Other Media,1000095,Books - Children's Books,1000104,Comics & Graphic Novels
1000000,Books & Other Media,1000095,Books - Children's Books,1000105,Computers & Technology
1000000,Books & Other Media,1000095,Books - Children's Books,1000106,Education & Reference
1000000,Books & Other Media,1000095,Books - Children's Books,1000107,"Fairy Tales, Folk Tales & Myths"
1000000,Books & Other Media,1000095,Books - Children's Books,1000108,Geography & Cultures
1000000,Books & Other Media,1000095,Books - Children's Books,1000109,Growing Up & Facts of Life
1000000,Books & Other Media,1000095,Books - Children's Books,1000110,History
1000000,Books & Other Media,1000095,Books - Children's Books,1000111,Holidays & Celebrations
1000000,Books & Other Media,1000095,Books - Children's Books,1000112,Humor
1000000,Books & Other Media,1000095,Books - Children's Books,1000113,Literature & Fiction
1000000,Books & Other Media,1000095,Books - Children's Books,1000114,Mysteries & Detectives
1000000,Books & Other Media,1000095,Books - Children's Books,1000115,Religions
1000000,Books & Other Media,1000095,Books - Children's Books,1000116,Science Fiction & Fantasy
1000000,Books & Other Media,1000095,Books - Children's Books,1000117,"Science, Nature & How It Works"
1000000,Books & Other Media,1000095,Books - Children's Books,1000118,Sports & Outdoors
1000000,Books & Other Media,1000095,Books - Children's Books,1000456,Early Learning
1000000,Books & Other Media,1000095,Books - Children's Books,1900190,Comic Books & Graphic Novels
1000000,Books & Other Media,1000095,Books - Children's Books,1900191,Dr. Seuss
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000120,Apple
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000121,Business & Management
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000122,Certification
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000123,Computer Science
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000124,Databases
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000125,Digital Media Management
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000126,Games & Strategy Guides
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000127,Graphic Design
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000128,Hardware
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000129,Home Computing & How-to
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000130,Internet & Social Media
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000131,Microsoft
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000132,"Mobile Phones, Tablets & E-Readers"
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000133,Networking
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000134,Operating Systems
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000135,Programming
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000136,Security & Encryption
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000137,Operating Systems & Software
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000138,Web Development & Design
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000460,General
1000000,Books & Other Media,1000119,Books - Computers & Technology,1000475,General
1000000,Books & Other Media,1000139,"Books - Cookbooks, Food & Wine",1000140,Baking
1000000,Books & Other Media,1000139,"Books - Cookbooks, Food & Wine",1000141,Beverages & Wine
