id,description,display_name,free_text,variant,facet_filter
1,Country of Origin,Country Of Origin,No,No,No
2,Color,Color,Yes,No,Yes
4,Material Type,Material,No,Yes,No
5,Import Designation,Import Designation,No,No,No
8,Product Form,Form,No,Yes,No
9,ESRB Ratings,ESRB Ratings,No,No,No
11,Towel Size,Type Of Towel,No,Yes,Yes
13,Pillow Size,Pillow Size,No,Yes,Yes
14,Light Source Type,Light Source,No,No,Yes
15,D̩cor Style,Style,No,No,No
16,Instrument Size,Instrument Size,No,Yes,No
17,Fixture Finish Type,Finish,No,Yes,Yes
18,Game Genre,Genre,No,No,No
19,Book Format,Format,No,No,No
20,Music Format,Music Format,No,Yes,Yes
21,Software Format,Format,No,Yes,Yes
23,Mitt Type,Mitt Type,No,No,Yes
24,Printer Type,Printer Type,No,No,Yes
25,Calculator Type,Calculator Type,No,No,Yes
26,Scanner Type,Scanner Type,No,No,Yes
27,Microwave Type,Microwave Type,No,No,Yes
28,Baby Carrier Type,Carrier Type,No,Yes,Yes
29,Breast Pump Type,Breast Pump Type,No,No,Yes
30,Language,Language,No,No,No
31,Age Range,Age Range,No,No,No
32,Age Group,Age Group,No,No,Yes
33,Target Audience,Target Audience,No,No,No
34,Gender,Gender,No,No,No
35,Battery Type,Battery Type,No,No,Yes
36,Health & Beauty Item Form,Form,No,No,No
37,Health & Beauty Specialty,Shop By Feature,No,No,No
38,Fill Material,Fill Material,Yes,No,No
39,Media Storage Capacity,Storage Capacity,Yes,Yes,No
41,Device Compatibility,Device Compatibility,No,Yes,Yes
42,Native Resolution,Native Resolution,No,No,No
44,Power Source,Power Source,No,No,Yes
45,Width,Width,Yes,Yes,No
46,Weight or Volume,Size,No,Yes,No
47,Film Speed,Film Speed,No,Yes,Yes
48,Film Color,Film Color,No,Yes,Yes
50,Size - Free Text,Size,Yes,Yes,No
51,Mirror Style,Mirror Style,No,No,Yes
52,Drinking Glass Type,Glass Type,No,No,Yes
53,Camera Lens Type,Lens Type,No,No,Yes
54,Optical Zoom,Optical Zoom,Yes,Yes,No
55,Clock Type,Clock Type,No,No,No
56,Mattress Type,Mattress Type,No,No,Yes
57,Knitting Needle Size,Knitting Needle Size,No,Yes,Yes
58,Crochet Hook Size,Crochet Hook Size,No,Yes,Yes
59,TV  and Laptop Screen Size,Screen Size,No,Yes,No
60,Paper Size,Paper Size,No,Yes,Yes
61,Fish Type,Fish Type,No,No,Yes
62,Pet Food Form,Pet Food Form,No,No,Yes
63,Baby Stage,Stage,No,Yes,Yes
64,Formula Type,Formula Type,No,No,Yes
65,Wattage,Wattage,Yes,Yes,No
66,Home Theater System Channels,Channels,Yes,No,Yes
67,Watts Per Channel,Watts Per Channel,No,No,No
68,Tuner Type,Tuner Type,No,No,Yes
69,Refrigerator Style,Refrigerator Style,No,No,Yes
70,Appliance Capacity,Capacity,Yes,No,No
72,Coverage Unit of Measure,Coverage,Yes,No,No
74,Range Installation Type,Range Installation Type,No,No,Yes
75,Yarn Fiber,Yarn Fiber,No,No,Yes
76,Item Volume,Volume,No,No,No
80,Shoe Width,Shoe Width,No,Yes,No
81,Old Diaper Size,Diapers Size,No,No,No
83,Kids Shoe Sizes,Kids Shoe Sizes,No,Yes,No
86,RETIRED Men's Pant Size,Men's Pant Size,No,Yes,No
87,RETIRED Men's Dress Shirt Size,Men's Dress Shirt Size,No,Yes,No
88,Product Material,Material,No,No,Yes
89,Pet Life Stage,Life Stage,No,Yes,No
90,Sheet Material,Material,No,No,No
91,Bag Style,Bag Style,No,No,Yes
93,Stone,Stone,No,Yes,No
94,Hair Color,Hair Color,Yes,Yes,No
95,Count Size,Count,No,Yes,No
96,# of Players,# Of Players,No,No,Yes
97,Women's Shoe Size,Women's Shoe Size,No,Yes,No
98,Men's Shoe Size,Men's Shoe Size,No,Yes,No
100,Furniture Material,Material,No,No,No
101,Bird Type,Bird Type,No,No,Yes
102,Small Animal Type,Small Animal Type,No,No,Yes
103,Reptile type,Reptile Type,No,No,Yes
104,Pet Food Special Diet,Special Diet,No,No,No
105,Special Sizes,Additional Sizes,No,No,Yes
106,Kids Shoe Width,Kids Shoe Width,No,Yes,No
107,Video Format,Video Format,No,Yes,Yes
108,MPAA Rating,MPAA Rating,Yes,No,No
109,Subtitle Language,Subtitle Language,No,Yes,Yes
110,Audio Encoding Language,Audio Encoding Language,No,No,Yes
111,Adult Product,Adult Product,No,No,No
112,Movie & TV Genre,Genre,Yes,No,No
114,Generic Size- free text with units,Size,No,Yes,No
115,Dog Size,Dog Size,No,No,No
117,Flavor,Flavor,Yes,Yes,No
118,Fragrancehttps://nova-web.prod.jet.network/,Fragrance,Yes,Yes,No
119,Color,Color,Yes,Yes,No
120,Nursery Furniture Type,Type,No,No,Yes
121,Finish,Finish,Yes,Yes,No
123,Length,Length,No,Yes,No
124,Height,Height,No,Yes,No
125,Diaper Size,Diaper Size,Yes,Yes,No
128,Camera Image Resolution_Display,Megapixels,Yes,No,No
129,Furniture Finish,Furniture Finish,Yes,Yes,No
130,Monitor Type,Monitor Type,No,No,Yes
131,Service Plan,Service Plan,Yes,No,Yes
132,Warranty Plan,Warranty Plan,Yes,No,No
134,GPS Feature,GPS Feature,Yes,No,No
136,Hand Tool Type,Hand Tool Type,No,No,No
137,Power Tool Type,Power Tool Type,No,No,No
138,Hardware Finish Type,Hardware Finish Type,No,Yes,Yes
139,Door Entry Side,Door Entry Side,No,Yes,Yes
140,Ring Size,Ring Size,No,Yes,No
141,Platform,Gaming Platform,No,Yes,No
142,Bike Wheel Size,Bike Wheel Size,No,Yes,No
143,Lens Color,Lens Color,Yes,Yes,No
144,Airsoft Gun & Rifle Velocity,Airsoft Gun & Rifle Velocity,Yes,No,No
145,Baseball Type,Baseball Type,No,No,Yes
146,Bat Size,Bat Size,No,Yes,No
147,Baseball Glove Size,Glove Size,No,Yes,No
148,Baseball Throwing Hand,Throwing Hand,No,Yes,Yes
149,Type of Protective Gear,Type Of Protective Gear,No,No,Yes
150,Softball Type,Softball Type,No,No,Yes
151,Team,Team,Yes,Yes,Yes
152,Dimensional Size- built from Length X Width X Height,Product Dimensions,Yes,No,No
153,Diameter,Diameter,No,Yes,No
154,Bowling Ball Size,Bowling Ball Size,No,Yes,No
155,Football Size,Football Size,No,No,Yes
156,Golf Club Type,Golf Club Type,No,No,No
157,Hand Orientation,Hand Orientation,No,Yes,No
158,Tennis Raquet Grip Size,Tennis Raquet Grip Size,No,Yes,No
159,Tennis Raquet Head Size,Tennis Raquet Head Size,No,Yes,No
161,Rug Material,Rug Material,No,No,Yes
162,Sink Style,Sink Style,No,No,Yes
163,Cookware Material,Cookware Material,No,No,Yes
164,Contract Type,Contract Type,No,No,Yes
165,Cell Phone Carrier,Carrier,No,Yes,Yes
166,Phone Operating System,Phone Operating System,No,No,Yes
167,TV Refresh Rate,Refresh Rate,No,Yes,No
169,Decor Material,Material,No,No,Yes
171,Make,Make,Yes,No,No
172,Model,Model,Yes,Yes,No
173,"Year - Display, Free Text",Year,Yes,No,No
174,Camera Filter Diameter,Camera Filter Diameter,No,No,No
176,Wiring Type,Wiring Type,No,No,Yes
177,Sleeping Bag Temperature Rating,Sleeping Bag Temperature Rating,Yes,No,No
178,Brightness,Brightness,Yes,No,No
179,Tent Capacity,Tent Capacity,No,No,Yes
181,Wireless Standard,Wireless Standard,No,No,Yes
182,Transmission Speed,Transmission Speed,Yes,No,No
183,Processor Speed,Processor Speed,Yes,No,No
209,DNU,DNU,No,Yes,No
219,Hard Drive Size (OLD),Hard Drive Size,No,Yes,No
225,# of Pieces,# Of Pieces,Yes,Yes,No
248,Frame Color,Frame Color,No,Yes,No
266,Dishwasher Installation Type,Installation Type,No,No,Yes
267,Wine Cellar Capacity,Wine Cellar Capacity,Yes,Yes,No
268,Activity,Activity,No,Yes,No
269,Art Style,Art Style,No,No,Yes
271,Watch Band Material,Watch Band Material,No,No,No
273,Kids' Shoe Size - length only,Kids' Shoe Size,No,No,Yes
279,Bike Capacity,Bike Capacity,No,No,Yes
282,Certifications,Certifications,No,No,Yes
283,Connector Type,Connector Type,No,No,Yes
285,Designer,Designer,Yes,No,Yes
286,Dietary Needs,Dietary Needs,No,No,Yes
287,Grade Level,Grade Level,No,No,Yes
288,Grit Size,Grit Size,No,Yes,Yes
290,Hubcap Size,Hubcap Size,No,No,Yes
291,Inseam,Inseam,No,No,Yes
292,League,League,No,No,Yes
293,Lens Mount Compatibility,Lens Mount Compatibility,No,No,Yes
295,Men's Regular Waist Size,Men's Waist Size,No,No,Yes
296,TV Model Year Facet Filter,TV Model Year,No,No,Yes
297,Needle Type,Needle Type,No,No,Yes
298,Occasion,Occasion,No,No,No
299,OEM/Compatible,OEM/Compatible,No,No,Yes
301,Platform Support,Platform Support,No,No,Yes
303,RAM Technology,RAM Technology,No,No,Yes
306,Rim Size,Rim Size,No,No,Yes
307,Stroller Seating Capacity,Seating Capacity,No,No,Yes
308,Shoe Style,Shoe Style,No,No,No
310,Skin Type,Skin Type,No,No,No
311,Theme,Theme,No,No,Yes
312,US States & Regions,US States & Regions,No,No,Yes
314,Vehicle Type,Vehicle Type,No,No,Yes
317,"Year - Facet Filter, Value",Year,No,No,Yes
318,Depth,Depth,Yes,No,No
3801893080185,Video Box Office,Box Office,Yes,No,No
39939493894083,Video Edition,Edition,Yes,No,No
43984840312887,tension level,Tension Supported,Yes,Yes,No
43984841697296,maximum size,Maximum Size,Yes,Yes,No
43984848490626,vehicle speaker size,Vehicle Speaker Size,Yes,Yes,No
43984858380839,item shape,Item Shape,Yes,Yes,No
43984859044444,magnification strength,Magnification Strength,Yes,Yes,No
43984859053743,platform for display,Display Platform,Yes,Yes,No
43984867739000,golf club loft,Loft,Yes,No,No
43984868016650,configuration,Configuration,Yes,Yes,No
43984885052616,speakers maximum output power,Speaker Maximum Output Power,Yes,Yes,No
43984887979890,lens width,Lens Width,Yes,Yes,No
43984903758222,amperage,Amperage,Yes,Yes,No
43984903761407,number of items,Number Of Items,Yes,Yes,No
43984903763619,size per pearl,Pearl Size,Yes,Yes,No
43984903765725,speaker system class,Speaker System Class,Yes,Yes,No
43984903767658,grip size,Grip Size,Yes,Yes,No
43984903769876,action,Action,Yes,Yes,No
43984903771858,service plan term,Service Plan Term,Yes,Yes,No
43984903773781,edition,Edition,Yes,Yes,No
43984903777491,total diamond weight,Total Diamond Weight,Yes,Yes,No
43984903783238,metal type,Metal Type,Yes,Yes,No
